,open,high,low,close,volume,value
2022-07-01 06:43:00,24919000.0,24948000.0,24918000.0,24948000.0,5.55833465,138557951.42492
2022-07-01 06:44:00,24915000.0,24934000.0,24876000.0,24898000.0,14.2547474,354947978.31798
2022-07-01 06:45:00,24898000.0,24923000.0,24880000.0,24911000.0,7.39607547,184122491.22133
2022-07-01 06:46:00,24911000.0,24944000.0,24911000.0,24932000.0,1.94759544,48543377.57111
2022-07-01 06:47:00,24940000.0,24947000.0,24931000.0,24938000.0,8.01561921,199895432.69598
2022-07-01 06:48:00,24944000.0,24944000.0,24924000.0,24924000.0,6.68518192,166663933.09027
2022-07-01 06:49:00,24924000.0,24940000.0,24903000.0,24903000.0,3.99953421,99642542.43501
2022-07-01 06:50:00,24902000.0,24905000.0,24899000.0,24899000.0,7.21964527,179779058.47426
2022-07-01 06:51:00,24900000.0,24905000.0,24897000.0,24900000.0,5.52909774,137686524.23686
2022-07-01 06:52:00,24900000.0,24904000.0,24897000.0,24897000.0,2.47283297,61573708.51572
2022-07-01 06:53:00,24900000.0,24901000.0,24897000.0,24901000.0,2.79889799,69693097.13961
2022-07-01 06:54:00,24901000.0,24910000.0,24900000.0,24905000.0,3.70648532,92310119.13719
2022-07-01 06:55:00,24901000.0,24905000.0,24901000.0,24905000.0,2.84859949,70935203.87216
2022-07-01 06:56:00,24901000.0,24901000.0,24895000.0,24896000.0,9.80166325,244045955.47745
2022-07-01 06:57:00,24896000.0,24898000.0,24861000.0,24889000.0,16.089177,400456125.80635
2022-07-01 06:58:00,24865000.0,24865000.0,24847000.0,24850000.0,11.05928372,274872089.07703
2022-07-01 06:59:00,24850000.0,24856000.0,24830000.0,24835000.0,9.6988527,240953469.26916
2022-07-01 07:00:00,24835000.0,24850000.0,24824000.0,24848000.0,28.08190152,697412975.91123
2022-07-01 07:01:00,24850000.0,24864000.0,24847000.0,24863000.0,4.9643197,123409692.41949
2022-07-01 07:02:00,24864000.0,24880000.0,24837000.0,24841000.0,10.18607337,253236701.17043
2022-07-01 07:03:00,24848000.0,24879000.0,24837000.0,24879000.0,2.8781914,71519617.46738
2022-07-01 07:04:00,24857000.0,24870000.0,24857000.0,24861000.0,5.72885949,142449834.7622
2022-07-01 07:05:00,24864000.0,24865000.0,24861000.0,24865000.0,3.279594,81539727.34671
2022-07-01 07:06:00,24862000.0,24865000.0,24814000.0,24815000.0,20.72326612,514691183.71015
2022-07-01 07:07:00,24814000.0,24833000.0,24800000.0,24815000.0,13.44340313,333522131.82322
2022-07-01 07:08:00,24815000.0,24820000.0,24800000.0,24801000.0,17.16789633,425818888.80467
2022-07-01 07:09:00,24800000.0,24809000.0,24795000.0,24795000.0,16.51590538,409593795.14877
2022-07-01 07:10:00,24795000.0,24795000.0,24784000.0,24784000.0,13.85902119,343527693.61029
2022-07-01 07:11:00,24784000.0,24845000.0,24784000.0,24811000.0,14.55721545,361028952.50646
2022-07-01 07:12:00,24800000.0,24811000.0,24792000.0,24811000.0,4.24957189,105387441.84122
2022-07-01 07:13:00,24810000.0,24811000.0,24797000.0,24798000.0,6.52299205,161774613.70743
2022-07-01 07:14:00,24801000.0,24801000.0,24786000.0,24790000.0,9.02921467,223866516.62769
2022-07-01 07:15:00,24785000.0,24790000.0,24777000.0,24778000.0,8.1853575,202850356.01201
2022-07-01 07:16:00,24778000.0,24844000.0,24776000.0,24815000.0,26.67323093,661414298.51807
2022-07-01 07:17:00,24842000.0,24848000.0,24806000.0,24820000.0,10.6591114,264635208.83305
2022-07-01 07:18:00,24819000.0,24819000.0,24789000.0,24795000.0,7.43902009,184486549.92773
2022-07-01 07:19:00,24795000.0,24800000.0,24794000.0,24800000.0,5.82570909,144456917.30452
2022-07-01 07:20:00,24809000.0,24816000.0,24796000.0,24809000.0,5.31947948,131945861.71368
2022-07-01 07:21:00,24809000.0,24810000.0,24792000.0,24806000.0,23.15905446,574299094.56896
2022-07-01 07:22:00,24799000.0,24810000.0,24791000.0,24801000.0,8.46200942,209873548.32562
2022-07-01 07:23:00,24801000.0,24853000.0,24796000.0,24841000.0,12.79136007,317341862.25155
2022-07-01 07:24:00,24826000.0,24845000.0,24799000.0,24799000.0,8.31914529,206465674.29354
2022-07-01 07:25:00,24799000.0,24826000.0,24796000.0,24800000.0,7.92885159,196657943.85553
2022-07-01 07:26:00,24800000.0,24826000.0,24799000.0,24826000.0,8.57564991,212805725.95524
2022-07-01 07:27:00,24824000.0,24845000.0,24810000.0,24813000.0,6.52388103,161935152.27635
2022-07-01 07:28:00,24813000.0,24825000.0,24803000.0,24825000.0,11.51347081,285636939.2236
2022-07-01 07:29:00,24825000.0,24825000.0,24804000.0,24806000.0,10.34154286,256625572.14172
2022-07-01 07:30:00,24806000.0,24825000.0,24803000.0,24824000.0,5.46041116,135451640.96863
2022-07-01 07:31:00,24810000.0,24825000.0,24810000.0,24822000.0,6.77029561,168035726.7602
2022-07-01 07:32:00,24821000.0,24862000.0,24821000.0,24824000.0,18.28832366,453994629.30648
2022-07-01 07:33:00,24827000.0,24859000.0,24825000.0,24848000.0,8.69646534,215980546.38795
2022-07-01 07:34:00,24854000.0,24859000.0,24835000.0,24837000.0,10.72737395,266576301.07182
2022-07-01 07:35:00,24842000.0,24859000.0,24836000.0,24859000.0,5.16286867,128253616.70853
2022-07-01 07:36:00,24844000.0,24867000.0,24843000.0,24862000.0,9.56566207,237771452.98956
2022-07-01 07:37:00,24862000.0,24878000.0,24862000.0,24876000.0,5.37186428,133607604.61673
2022-07-01 07:38:00,24876000.0,24876000.0,24862000.0,24871000.0,9.46387565,235350160.21145
2022-07-01 07:39:00,24871000.0,24880000.0,24862000.0,24880000.0,11.90723501,296158936.12387
2022-07-01 07:40:00,24879000.0,24888000.0,24876000.0,24883000.0,5.34978627,133106797.65851
2022-07-01 07:41:00,24883000.0,24886000.0,24881000.0,24885000.0,9.24846409,230123569.88717
2022-07-01 07:42:00,24882000.0,24888000.0,24882000.0,24888000.0,3.79997014,94564858.19964
2022-07-01 07:43:00,24887000.0,24896000.0,24886000.0,24896000.0,6.04370135,150425239.79446
2022-07-01 07:44:00,24888000.0,24914000.0,24882000.0,24882000.0,16.12616348,401428754.48561
2022-07-01 07:45:00,24882000.0,24886000.0,24862000.0,24864000.0,6.65614479,165551210.64762
2022-07-01 07:46:00,24864000.0,24885000.0,24863000.0,24885000.0,6.65433405,165525018.63585
2022-07-01 07:47:00,24877000.0,24907000.0,24877000.0,24903000.0,6.64953481,165513796.64616
2022-07-01 07:48:00,24905000.0,24916000.0,24898000.0,24912000.0,12.34251055,307388716.54307
2022-07-01 07:49:00,24915000.0,24920000.0,24903000.0,24903000.0,5.47104906,136295054.55835
2022-07-01 07:50:00,24903000.0,24911000.0,24877000.0,24911000.0,9.22808638,229716723.5544
2022-07-01 07:51:00,24911000.0,24919000.0,24896000.0,24896000.0,7.17189613,178627141.61809
2022-07-01 07:52:00,24890000.0,24901000.0,24874000.0,24874000.0,4.06407736,101126752.85627
2022-07-01 07:53:00,24875000.0,24875000.0,24866000.0,24866000.0,13.15200343,327107951.81761
2022-07-01 07:54:00,24868000.0,24874000.0,24866000.0,24873000.0,5.23563975,130207991.35858
2022-07-01 07:55:00,24874000.0,24876000.0,24858000.0,24871000.0,9.96009753,247660292.39092
2022-07-01 07:56:00,24871000.0,24876000.0,24855000.0,24870000.0,4.29328845,106744167.52804
2022-07-01 07:57:00,24860000.0,24860000.0,24841000.0,24841000.0,5.8218634,144667871.29512
2022-07-01 07:58:00,24840000.0,24857000.0,24828000.0,24843000.0,7.20900811,179084771.64054
2022-07-01 07:59:00,24843000.0,24854000.0,24841000.0,24853000.0,2.64562433,65737728.17739
2022-07-01 08:00:00,24853000.0,24862000.0,24849000.0,24862000.0,4.76551908,118440359.45796
2022-07-01 08:01:00,24862000.0,24918000.0,24862000.0,24918000.0,5.11093014,127170077.23255
2022-07-01 08:02:00,24904000.0,24932000.0,24900000.0,24907000.0,7.85096886,195619849.41663
